,sqs,Kingdom,Phylum,Class,Order,Family,Genus,Species,cent,site,zone,time,index,full_sq
102,sq3645,Bacteria,NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,0.881659125,LK1,Inshore,Pre,102,Phylum_NB1-j_102
126,sq478,Bacteria,NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,0.907482913,UK2,Offshore,Post,126,Phylum_NB1-j_126
127,sq4843,Bacteria,NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,Phylum_NB1-j,0.763772054,UK2,Inshore,Irma,127,Phylum_NB1-j_127
124,sq4730,Bacteria,Zixibacteria,Phylum_Zixibacteria,Phylum_Zixibacteria,Phylum_Zixibacteria,Phylum_Zixibacteria,Phylum_Zixibacteria,0.917469392,UK2,Inshore,Post,124,Phylum_Zixibacteria_124
173,sq879,Bacteria,Zixibacteria,Phylum_Zixibacteria,Phylum_Zixibacteria,Phylum_Zixibacteria,Phylum_Zixibacteria,Phylum_Zixibacteria,0.979905598,UK2,Offshore,Irma,173,Phylum_Zixibacteria_173
121,sq4441,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Family_Pirellulaceae,Family_Pirellulaceae,0.987764562,LK1,Inshore,Irma,121,Pirellulaceae_121
9,sq11549,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Porticoccaceae,C1-B045,Genus_C1-B045,0.952042598,UK1,Offshore,Post,9,Porticoccaceae_9
166,sq7885,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella_7,pleuritidis,0.936951267,UK1,Offshore,Irma,166,Prevotellaceae_166
16,sq12413,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,syringae,0.868852718,LK1,Inshore,Post,16,Pseudomonadaceae_16
146,sq637,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Cerasicoccus,Genus_Cerasicoccus,0.988349182,UK1,Inshore,Post,146,Puniceicoccaceae_146
163,sq775,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,Coraliomargarita,Genus_Coraliomargarita,0.923948542,UK2,Offshore,Pre,163,Puniceicoccaceae_163
63,sq222,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Family_Rhizobiaceae,Family_Rhizobiaceae,0.952500012,LK1,Inshore,Pre,63,Rhizobiaceae_63
34,sq1541,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Family_Rhodobacteraceae,Family_Rhodobacteraceae,0.902748503,UK1,Offshore,Post,34,Rhodobacteraceae_34
178,sq961,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Family_Rhodobacteraceae,Family_Rhodobacteraceae,0.983707433,LK1,Offshore,Pre,178,Rhodobacteraceae_178
142,sq6247,Bacteria,Bacteroidota,Rhodothermia,Rhodothermales,Rhodothermaceae,Family_Rhodothermaceae,Family_Rhodothermaceae,0.871751685,UK2,Inshore,Irma,142,Rhodothermaceae_142
53,sq2013,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Family_Rickettsiaceae,Family_Rickettsiaceae,0.909142693,LK1,Inshore,Post,53,Rickettsiaceae_53
61,sq2170,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Cryptoprodotis,Genus_Candidatus Cryptoprodotis,0.830213103,UK2,Inshore,Irma,61,Rickettsiaceae_61
170,sq8142,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7x,Genus_TM7x,0.967614824,UK1,Offshore,Pre,170,Saccharimonadaceae_170
10,sq11755,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Oceaniserpentilla,haliotis,0.952484816,UK1,Offshore,Irma,10,Saccharospirillaceae_10
50,sq1861,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Oleispira,Genus_Oleispira,0.946065838,UK1,Offshore,Irma,50,Saccharospirillaceae_50
133,sq539,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Saccharospirillaceae,Oleibacter,Genus_Oleibacter,1,UK1,Offshore,Irma,133,Saccharospirillaceae_133
1,sq102,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,Family_Sandaracinaceae,Family_Sandaracinaceae,1,LK1,Offshore,Post,1,Sandaracinaceae_1
66,sq2293,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Family_Saprospiraceae,Family_Saprospiraceae,0.970002476,LK1,Offshore,Pre,66,Saprospiraceae_66
49,sq179,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,Genus_Ellin6055,0.899953374,UK1,Inshore,Pre,49,Sphingomonadaceae_49
113,sq4189,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Genus_Sphingomonas,0.98884177,UK1,Offshore,Irma,113,Sphingomonadaceae_113
43,sq169,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,Genus_Spirochaeta 2,0.965251309,UK1,Offshore,Post,43,Spirochaetaceae_43
44,sq169,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,Genus_Spirochaeta 2,0.887111635,UK1,Inshore,Pre,44,Spirochaetaceae_44
52,sq1952,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Macellibacteroides,Genus_Macellibacteroides,0.906413915,UK2,Inshore,Pre,52,Tannerellaceae_52
103,sq3677,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella,Genus_Terasakiella,0.94937629,LK1,Offshore,Post,103,Terasakiellaceae_103
8,sq1150,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,Genus_Subgroup 10,0.966458254,UK2,Offshore,Irma,8,Thermoanaerobaculaceae_8
179,sq9658,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup 10,Genus_Subgroup 10,0.959780905,UK1,Offshore,Pre,179,Thermoanaerobaculaceae_179
68,sq2332,Bacteria,Proteobacteria,Gammaproteobacteria,Thiohalorhabdales,Thiohalorhabdaceae,Family_Thiohalorhabdaceae,Family_Thiohalorhabdaceae,0.957201548,UK1,Offshore,Pre,68,Thiohalorhabdaceae_68
5,sq10960,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,endosymbionts,Genus_endosymbionts,0.899361723,UK1,Offshore,Post,5,Thiomicrospiraceae_5
80,sq2716,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Family_Thiotrichaceae,Family_Thiotrichaceae,0.874908226,UK1,Offshore,Post,80,Thiotrichaceae_80
101,sq3618,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Family_Thiotrichaceae,Family_Thiotrichaceae,0.96751202,UK1,Offshore,Pre,101,Thiotrichaceae_101
95,sq338,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Genus_Vibrio,0.908006256,UK1,Offshore,Post,95,Vibrionaceae_95
111,sq4092,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Genus_Vibrio,0.90887813,UK2,Inshore,Pre,111,Vibrionaceae_111
123,sq4607,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Vibrionaceae,Vibrio,azureus,0.885274383,UK2,Inshore,Pre,123,Vibrionaceae_123
39,sq1636,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,0.672776848,UK1,Inshore,Irma,39,Woeseiaceae_39
57,sq2117,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,0.914028962,UK2,Offshore,Pre,57,Woeseiaceae_57
60,sq2154,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,0.696830111,UK1,Inshore,Irma,60,Woeseiaceae_60
128,sq507,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,0.755838476,UK2,Inshore,Pre,128,Woeseiaceae_128
143,sq63,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,1,UK2,Offshore,Post,143,Woeseiaceae_143
144,sq63,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,0.991461443,UK1,Inshore,Post,144,Woeseiaceae_144
162,sq73,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,0.984955494,UK2,Offshore,Post,162,Woeseiaceae_162
168,sq80,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,0.880223198,UK1,Inshore,Irma,168,Woeseiaceae_168
169,sq80,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,Genus_Woeseia,0.97901414,UK1,Inshore,Post,169,Woeseiaceae_169
98,sq3531,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,elkanii,0.859255489,UK1,Inshore,Pre,98,Xanthobacteraceae_98
167,sq8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,elkanii,0.921331564,LK1,Inshore,Pre,167,Xanthobacteraceae_167
36,sq159,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Family_Xenococcaceae,Family_Xenococcaceae,0.989022778,LK1,Inshore,Irma,36,Xenococcaceae_36
120,sq4435,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Xenococcus PCC-7305,Genus_Xenococcus PCC-7305,0.967863485,UK2,Offshore,Irma,120,Xenococcaceae_120
